locus_tag	ftype	length_bp	gene	EC_number	COG	product
OIOADCLO_00266	gene	327				
OIOADCLO_00266	CDS	327				hypothetical protein
OIOADCLO_00267	gene	786				
OIOADCLO_00267	CDS	786				esterase family protein
OIOADCLO_00268	gene	1662				
OIOADCLO_00268	CDS	1662				ribonuclease J
OIOADCLO_00269	gene	759				
OIOADCLO_00269	CDS	759				ABC transporter ATP-binding protein
OIOADCLO_00270	gene	870				
OIOADCLO_00270	CDS	870				ABC transporter permease
OIOADCLO_00271	gene	165				
OIOADCLO_00271	CDS	165				hypothetical protein
OIOADCLO_00272	gene	999				
OIOADCLO_00272	CDS	999				ABC transporter substrate-binding protein
OIOADCLO_00273	gene	1653	fbp54			
OIOADCLO_00273	CDS	1653	fbp54			Rqc2 family fibronectin-binding protein Fbp54
OIOADCLO_00274	gene	1248				
OIOADCLO_00274	CDS	1248				tetratricopeptide repeat protein
OIOADCLO_00275	gene	1182				
OIOADCLO_00275	CDS	1182				AI-2E family transporter
OIOADCLO_00276	gene	477				
OIOADCLO_00276	CDS	477				8-oxo-dGTP diphosphatase
OIOADCLO_00277	gene	1041	rfbB			
OIOADCLO_00277	CDS	1041	rfbB	4.2.1.46		dTDP-glucose 4,6-dehydratase
OIOADCLO_00278	gene	594				
OIOADCLO_00278	CDS	594				dTDP-4-dehydrorhamnose 3,5-epimerase family protein
OIOADCLO_00279	gene	870	rfbA			
OIOADCLO_00279	CDS	870	rfbA	2.7.7.24		glucose-1-phosphate thymidylyltransferase RfbA
OIOADCLO_00280	gene	1107				
OIOADCLO_00280	CDS	1107				FAD-binding oxidoreductase
OIOADCLO_00281	gene	789				
OIOADCLO_00281	CDS	789				Nif3-like dinuclear metal center hexameric protein
OIOADCLO_00282	gene	687				
OIOADCLO_00282	CDS	687				tRNA (adenine(22)-N(1))-methyltransferase TrmK
OIOADCLO_00283	gene	657	nth			
OIOADCLO_00283	CDS	657	nth			endonuclease III
OIOADCLO_00284	gene	684				
OIOADCLO_00284	CDS	684				DnaD domain-containing protein
OIOADCLO_00285	gene	519				
OIOADCLO_00285	CDS	519		2.4.2.7		adenine phosphoribosyltransferase
OIOADCLO_00286	gene	2211	recJ			
OIOADCLO_00286	CDS	2211	recJ			single-stranded-DNA-specific exonuclease RecJ
OIOADCLO_00287	gene	765				
OIOADCLO_00287	CDS	765				SDR family oxidoreductase
OIOADCLO_00288	gene	930	rnz			
OIOADCLO_00288	CDS	930	rnz	3.1.26.11		ribonuclease Z
OIOADCLO_00289	gene	636				
OIOADCLO_00289	CDS	636				cystathionine beta-lyase
OIOADCLO_00290	gene	1242	hflX			
OIOADCLO_00290	CDS	1242	hflX			GTPase HflX
OIOADCLO_00291	gene	900	miaA			
OIOADCLO_00291	CDS	900	miaA	2.5.1.75		tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
OIOADCLO_00292	gene	177				
OIOADCLO_00292	CDS	177				hypothetical protein
OIOADCLO_00293	gene	909				
OIOADCLO_00293	CDS	909				TDT family transporter
OIOADCLO_00294	gene	420				
OIOADCLO_00294	CDS	420				hypothetical protein
OIOADCLO_00295	gene	987				
OIOADCLO_00295	CDS	987				rhodanese-related sulfurtransferase
OIOADCLO_00296	gene	303				
OIOADCLO_00296	CDS	303				hypothetical protein
OIOADCLO_00297	gene	72				
OIOADCLO_00297	tRNA	72				tRNA-Arg(ccg)
OIOADCLO_00298	gene	1206	rpsA			
OIOADCLO_00298	CDS	1206	rpsA			30S ribosomal protein S1
OIOADCLO_00299	gene	75				
OIOADCLO_00299	tRNA	75				tRNA-Gln(ttg)
OIOADCLO_00300	gene	81				
OIOADCLO_00300	tRNA	81				tRNA-Tyr(gta)
OIOADCLO_00301	gene	231				
OIOADCLO_00301	CDS	231				hypothetical protein
OIOADCLO_00302	gene	1023				
OIOADCLO_00302	CDS	1023		2.6.1.42		branched-chain amino acid aminotransferase
OIOADCLO_00303	gene	2424	parC			
OIOADCLO_00303	CDS	2424	parC	5.6.2.2		DNA topoisomerase IV subunit A
OIOADCLO_00304	gene	1950	parE			
OIOADCLO_00304	CDS	1950	parE	5.6.2.2		DNA topoisomerase IV subunit B
OIOADCLO_00305	gene	642	plsY			
OIOADCLO_00305	CDS	642	plsY	2.3.1.15		glycerol-3-phosphate 1-O-acyltransferase PlsY
OIOADCLO_00306	gene	1269				
OIOADCLO_00306	CDS	1269		3.5.2.3		dihydroorotase
OIOADCLO_00307	gene	654				
OIOADCLO_00307	CDS	654		3.2.2.27		uracil-DNA glycosylase
OIOADCLO_00308	gene	651				
OIOADCLO_00308	CDS	651				amino acid ABC transporter permease
OIOADCLO_00309	gene	864				
OIOADCLO_00309	CDS	864				transporter substrate-binding domain-containing protein
OIOADCLO_00310	gene	1455				
OIOADCLO_00310	CDS	1455		3.5.1.4		amidase
OIOADCLO_00311	gene	630	pyrE			
OIOADCLO_00311	CDS	630	pyrE	2.4.2.10		orotate phosphoribosyltransferase
OIOADCLO_00312	gene	693	pyrF			
OIOADCLO_00312	CDS	693	pyrF	4.1.1.23		orotidine-5'-phosphate decarboxylase
OIOADCLO_00313	gene	537				
OIOADCLO_00313	CDS	537				hypothetical protein
OIOADCLO_00314	gene	855				
OIOADCLO_00314	CDS	855				LysR family transcriptional regulator
OIOADCLO_00315	gene	789				
OIOADCLO_00315	CDS	789				hypothetical protein
OIOADCLO_00316	gene	714	deoD_1			
OIOADCLO_00316	CDS	714	deoD_1	2.4.2.1		purine-nucleoside phosphorylase
OIOADCLO_00317	gene	810				
OIOADCLO_00317	CDS	810		2.4.2.1		purine-nucleoside phosphorylase
OIOADCLO_00318	gene	441	arsC			
OIOADCLO_00318	CDS	441	arsC	1.20.4.1		arsenate reductase (glutaredoxin)
OIOADCLO_00319	gene	1212				
OIOADCLO_00319	CDS	1212		5.4.2.7		phosphopentomutase
OIOADCLO_00320	gene	684	rpiA			
OIOADCLO_00320	CDS	684	rpiA	5.3.1.6		ribose-5-phosphate isomerase RpiA
OIOADCLO_00321	gene	2100				
OIOADCLO_00321	CDS	2100				ATP-dependent Clp protease ATP-binding subunit
OIOADCLO_00322	gene	744				
OIOADCLO_00322	CDS	744				hypothetical protein
OIOADCLO_00323	gene	600	yihA			
OIOADCLO_00323	CDS	600	yihA			ribosome biogenesis GTP-binding protein YihA/YsxC
OIOADCLO_00324	gene	1230	clpX			
OIOADCLO_00324	CDS	1230	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
OIOADCLO_00325	gene	171				
OIOADCLO_00325	CDS	171				hypothetical protein
OIOADCLO_00326	gene	498				
OIOADCLO_00326	CDS	498				dihydrofolate reductase
OIOADCLO_00327	gene	840				
OIOADCLO_00327	CDS	840		2.1.1.45		thymidylate synthase
OIOADCLO_00328	gene	1176				
OIOADCLO_00328	CDS	1176		2.3.3.10		hydroxymethylglutaryl-CoA synthase
OIOADCLO_00329	gene	1278				
OIOADCLO_00329	CDS	1278		1.1.1.88		hydroxymethylglutaryl-CoA reductase, degradative
OIOADCLO_00330	gene	990	fni			
OIOADCLO_00330	CDS	990	fni	5.3.3.2		type 2 isopentenyl-diphosphate Delta-isomerase
OIOADCLO_00331	gene	1008				
OIOADCLO_00331	CDS	1008		2.7.4.2		phosphomevalonate kinase
OIOADCLO_00332	gene	945	mvaD			
OIOADCLO_00332	CDS	945	mvaD	4.1.1.33		diphosphomevalonate decarboxylase
OIOADCLO_00333	gene	894	mvk			
OIOADCLO_00333	CDS	894	mvk	2.7.1.36		mevalonate kinase
OIOADCLO_00334	gene	1233				
OIOADCLO_00334	CDS	1233				HAMP domain-containing histidine kinase
OIOADCLO_00335	gene	669				
OIOADCLO_00335	CDS	669				response regulator transcription factor
OIOADCLO_00336	gene	189				
OIOADCLO_00336	CDS	189				GTP pyrophosphokinase family protein
OIOADCLO_00337	gene	459				
OIOADCLO_00337	CDS	459				GTP pyrophosphokinase family protein
OIOADCLO_00338	gene	2013				
OIOADCLO_00338	CDS	2013				bifunctional metallophosphatase/5'-nucleotidase
OIOADCLO_00339	gene	411				
OIOADCLO_00339	CDS	411		3.5.1.88		peptide deformylase
OIOADCLO_00340	gene	1878				
OIOADCLO_00340	CDS	1878				ABC-F family ATP-binding cassette domain-containing protein
OIOADCLO_00341	gene	1209				
OIOADCLO_00341	CDS	1209		2.7.7.72		CCA tRNA nucleotidyltransferase
OIOADCLO_00342	gene	849				
OIOADCLO_00342	CDS	849				DegV family protein
OIOADCLO_00343	gene	381				
OIOADCLO_00343	CDS	381				hypothetical protein
OIOADCLO_00344	gene	177				
OIOADCLO_00344	CDS	177				nucleoside-diphosphate kinase
OIOADCLO_00345	gene	1020				
OIOADCLO_00345	CDS	1020		3.4.22.-		IdeS/Mac family cysteine endopeptidase
OIOADCLO_00346	gene	219				
OIOADCLO_00346	CDS	219				IS3 family transposase
OIOADCLO_00347	gene	708				
OIOADCLO_00347	CDS	708				glycoside hydrolase family 73 protein
OIOADCLO_00348	gene	594				
OIOADCLO_00348	CDS	594				glycoside hydrolase family 73 protein
OIOADCLO_00349	gene	1947				
OIOADCLO_00349	CDS	1947				fructose-specific PTS transporter subunit EIIC
OIOADCLO_00350	gene	912	pfkB			
OIOADCLO_00350	CDS	912	pfkB	2.7.1.56		1-phosphofructokinase
OIOADCLO_00351	gene	669				
OIOADCLO_00351	CDS	669				DeoR/GlpR family DNA-binding transcription regulator
OIOADCLO_00352	gene	924				
OIOADCLO_00352	CDS	924				2-dehydropantoate 2-reductase
OIOADCLO_00353	gene	1059				
OIOADCLO_00353	CDS	1059				PTS transporter subunit IIC
OIOADCLO_00354	gene	993				
OIOADCLO_00354	CDS	993				NAD(P)/FAD-dependent oxidoreductase
OIOADCLO_00355	gene	732	trmD			
OIOADCLO_00355	CDS	732	trmD	2.1.1.228		tRNA (guanosine(37)-N1)-methyltransferase TrmD
OIOADCLO_00356	gene	519	rimM			
OIOADCLO_00356	CDS	519	rimM			ribosome maturation factor RimM
OIOADCLO_00357	gene	522				
OIOADCLO_00357	CDS	522				TetR/AcrR family transcriptional regulator
OIOADCLO_00358	gene	876				
OIOADCLO_00358	CDS	876				cation diffusion facilitator family transporter
OIOADCLO_00359	gene	402				
OIOADCLO_00359	CDS	402				pyridoxamine 5'-phosphate oxidase family protein
OIOADCLO_00360	gene	3027				
OIOADCLO_00360	CDS	3027				leucine-rich repeat protein
OIOADCLO_00361	gene	240				
OIOADCLO_00361	CDS	240				KH domain-containing protein
OIOADCLO_00362	gene	273	rpsP			
OIOADCLO_00362	CDS	273	rpsP			30S ribosomal protein S16
OIOADCLO_00363	gene	1734				
OIOADCLO_00363	CDS	1734				glycerophosphoryl diester phosphodiesterase membrane domain-containing protein
OIOADCLO_00364	gene	1221				
OIOADCLO_00364	CDS	1221				ABC transporter permease
OIOADCLO_00365	gene	711				
OIOADCLO_00365	CDS	711				ABC transporter ATP-binding protein
OIOADCLO_00366	gene	1272				
OIOADCLO_00366	CDS	1272				efflux RND transporter periplasmic adaptor subunit
OIOADCLO_00367	gene	3177	carB			
OIOADCLO_00367	CDS	3177	carB	6.3.5.5		carbamoyl-phosphate synthase large subunit
OIOADCLO_00368	gene	1083				
OIOADCLO_00368	CDS	1083				carbamoyl phosphate synthase small subunit
OIOADCLO_00369	gene	987				
OIOADCLO_00369	CDS	987		2.1.3.2		aspartate carbamoyltransferase catalytic subunit
OIOADCLO_00370	gene	1260				
OIOADCLO_00370	CDS	1260				NCS2 family nucleobase:cation symporter
OIOADCLO_00371	gene	522	pyrR			
OIOADCLO_00371	CDS	522	pyrR	2.4.2.9		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
OIOADCLO_00372	gene	891				
OIOADCLO_00372	CDS	891				RluA family pseudouridine synthase
OIOADCLO_00373	gene	459	lspA			
OIOADCLO_00373	CDS	459	lspA	3.4.23.36		signal peptidase II
OIOADCLO_00374	gene	915				
OIOADCLO_00374	CDS	915				LysR family transcriptional regulator
OIOADCLO_00375	gene	294	rpmA			
OIOADCLO_00375	CDS	294	rpmA			50S ribosomal protein L27
OIOADCLO_00376	gene	327				
OIOADCLO_00376	CDS	327				ribosomal-processing cysteine protease Prp
OIOADCLO_00377	gene	315	rplU			
OIOADCLO_00377	CDS	315	rplU			50S ribosomal protein L21
OIOADCLO_00378	gene	1293				
OIOADCLO_00378	CDS	1293				CapA family protein
OIOADCLO_00379	gene	1215	thiI			
OIOADCLO_00379	CDS	1215	thiI	2.8.1.4		tRNA 4-thiouridine(8) synthase ThiI
OIOADCLO_00380	gene	1143				
OIOADCLO_00380	CDS	1143				cysteine desulfurase
OIOADCLO_00381	gene	441				
OIOADCLO_00381	CDS	441				membrane protein
OIOADCLO_00382	gene	1269				
OIOADCLO_00382	CDS	1269				bifunctional folylpolyglutamate synthase/dihydrofolate synthase
OIOADCLO_00383	gene	1353	gorA			
OIOADCLO_00383	CDS	1353	gorA	1.8.1.7		glutathione-disulfide reductase
OIOADCLO_00384	gene	342				
OIOADCLO_00384	CDS	342				YlbF/YmcA family competence regulator
OIOADCLO_00385	gene	1167	aroC			
OIOADCLO_00385	CDS	1167	aroC	4.2.3.5		chorismate synthase
OIOADCLO_00386	gene	687	aroD			
OIOADCLO_00386	CDS	687	aroD	4.2.1.10		type I 3-dehydroquinate dehydratase
OIOADCLO_00387	gene	1164				
OIOADCLO_00387	CDS	1164				class I SAM-dependent rRNA methyltransferase
OIOADCLO_00388	gene	2211				
OIOADCLO_00388	CDS	2211				LTA synthase family protein
OIOADCLO_00389	gene	360	rplT			
OIOADCLO_00389	CDS	360	rplT			50S ribosomal protein L20
OIOADCLO_00390	gene	198	rpmI			
OIOADCLO_00390	CDS	198	rpmI			50S ribosomal protein L35
OIOADCLO_00391	gene	531	infC			
OIOADCLO_00391	CDS	531	infC			translation initiation factor IF-3
OIOADCLO_00392	gene	681	cmk			
OIOADCLO_00392	CDS	681	cmk	2.7.4.25		(d)CMP kinase
OIOADCLO_00393	gene	477				
OIOADCLO_00393	CDS	477				LysM peptidoglycan-binding domain-containing protein
OIOADCLO_00394	gene	489				
OIOADCLO_00394	CDS	489				EbsA family protein
OIOADCLO_00395	gene	1224	pepT			
OIOADCLO_00395	CDS	1224	pepT	3.4.11.4		peptidase T
OIOADCLO_00396	gene	1497				
OIOADCLO_00396	CDS	1497				hypothetical protein
OIOADCLO_00397	gene	1287				
OIOADCLO_00397	CDS	1287				lipopolysaccharide biosynthesis protein
OIOADCLO_00398	gene	342				
OIOADCLO_00398	CDS	342				hypothetical protein
OIOADCLO_00399	gene	696				
OIOADCLO_00399	CDS	696				glycosyltransferase family 2 protein
OIOADCLO_00400	gene	2475				
OIOADCLO_00400	CDS	2475				LTA synthase family protein
OIOADCLO_00401	gene	1746				
OIOADCLO_00401	CDS	1746				alpha-L-Rha alpha-1,3-L-rhamnosyltransferase
OIOADCLO_00402	gene	1008				
OIOADCLO_00402	CDS	1008		2.4.-.-		glycosyltransferase
OIOADCLO_00403	gene	1206				
OIOADCLO_00403	CDS	1206				ABC transporter ATP-binding protein
OIOADCLO_00404	gene	804				
OIOADCLO_00404	CDS	804				ABC transporter permease
OIOADCLO_00405	gene	933				
OIOADCLO_00405	CDS	933				glycosyltransferase family 2 protein
OIOADCLO_00406	gene	1155				
OIOADCLO_00406	CDS	1155				hypothetical protein
OIOADCLO_00407	gene	855	rfbD			
OIOADCLO_00407	CDS	855	rfbD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
OIOADCLO_00408	gene	339				
OIOADCLO_00408	CDS	339				metal-sulfur cluster assembly factor
OIOADCLO_00409	gene	1110	rpoD			
OIOADCLO_00409	CDS	1110	rpoD			RNA polymerase sigma factor RpoD
OIOADCLO_00410	gene	1815	dnaG			
OIOADCLO_00410	CDS	1815	dnaG			DNA primase
OIOADCLO_00411	gene	363	mscL			
OIOADCLO_00411	CDS	363	mscL			large conductance mechanosensitive channel protein MscL
OIOADCLO_00412	gene	207	rpsU			
OIOADCLO_00412	CDS	207	rpsU			30S ribosomal protein S21
OIOADCLO_00413	gene	813				
OIOADCLO_00413	CDS	813				transporter substrate-binding domain-containing protein
OIOADCLO_00414	gene	3633	addA			
OIOADCLO_00414	CDS	3633	addA			helicase-exonuclease AddAB subunit AddA
OIOADCLO_00415	gene	3216	rexB			
OIOADCLO_00415	CDS	3216	rexB			ATP-dependent nuclease subunit B
OIOADCLO_00416	gene	918				
OIOADCLO_00416	CDS	918				neutral zinc metallopeptidase
OIOADCLO_00417	gene	669				
OIOADCLO_00417	CDS	669				ABC transporter ATP-binding protein
OIOADCLO_00418	gene	1077				
OIOADCLO_00418	CDS	1077				ABC transporter permease
OIOADCLO_00419	gene	387				
OIOADCLO_00419	CDS	387				YbgA family protein
OIOADCLO_00420	gene	378				
OIOADCLO_00420	CDS	378				OsmC family protein
OIOADCLO_00421	gene	2406	pheT			
OIOADCLO_00421	CDS	2406	pheT	6.1.1.20		phenylalanine--tRNA ligase subunit beta
OIOADCLO_00422	gene	1077	pheS			
OIOADCLO_00422	CDS	1077	pheS	6.1.1.20		phenylalanine--tRNA ligase subunit alpha
OIOADCLO_00423	gene	738				
OIOADCLO_00423	CDS	738				RNA methyltransferase
OIOADCLO_00424	gene	501				
OIOADCLO_00424	CDS	501				HD domain-containing protein
OIOADCLO_00425	gene	690				
OIOADCLO_00425	CDS	690				Bax inhibitor-1/YccA family protein
OIOADCLO_00426	gene	243				
OIOADCLO_00426	CDS	243				YneF family protein
OIOADCLO_00427	gene	795	racE			
OIOADCLO_00427	CDS	795	racE	5.1.1.3		glutamate racemase
OIOADCLO_00428	gene	987				
OIOADCLO_00428	CDS	987				nucleoside-triphosphate diphosphatase
OIOADCLO_00429	gene	522				
OIOADCLO_00429	CDS	522				metallophosphoesterase
OIOADCLO_00430	gene	462				
OIOADCLO_00430	CDS	462				CBS domain-containing protein
OIOADCLO_00431	gene	747	xerD			
OIOADCLO_00431	CDS	747	xerD			site-specific tyrosine recombinase XerD
OIOADCLO_00432	gene	702				
OIOADCLO_00432	CDS	702				segregation/condensation protein A
OIOADCLO_00433	gene	552				
OIOADCLO_00433	CDS	552				SMC-Scp complex subunit ScpB
OIOADCLO_00434	gene	723				
OIOADCLO_00434	CDS	723				rRNA pseudouridine synthase
OIOADCLO_00435	gene	264	yidD			
OIOADCLO_00435	CDS	264	yidD			membrane protein insertion efficiency factor YidD
OIOADCLO_00436	gene	549				
OIOADCLO_00436	CDS	549				tRNA (cytidine(34)-2'-O)-methyltransferase
OIOADCLO_00437	gene	564				
OIOADCLO_00437	CDS	564				ECF transporter S component
OIOADCLO_00438	gene	654				
OIOADCLO_00438	CDS	654				phosphatase PAP2 family protein
OIOADCLO_00439	gene	921				
OIOADCLO_00439	CDS	921				TIGR01212 family radical SAM protein
OIOADCLO_00440	gene	555				
OIOADCLO_00440	CDS	555				class I SAM-dependent methyltransferase
OIOADCLO_00441	gene	1335				
OIOADCLO_00441	CDS	1335				hemolysin family protein
OIOADCLO_00442	gene	864	pflA			
OIOADCLO_00442	CDS	864	pflA	1.97.1.4		pyruvate formate-lyase-activating protein
OIOADCLO_00443	gene	936				
OIOADCLO_00443	CDS	936		3.6.1.1		manganese-dependent inorganic pyrophosphatase
OIOADCLO_00444	gene	654				
OIOADCLO_00444	CDS	654				hypothetical protein
OIOADCLO_00445	gene	1002				
OIOADCLO_00445	CDS	1002				iron ABC transporter permease
OIOADCLO_00446	gene	1053				
OIOADCLO_00446	CDS	1053				iron ABC transporter permease
OIOADCLO_00447	gene	933				
OIOADCLO_00447	CDS	933				iron-hydroxamate ABC transporter substrate-binding protein
OIOADCLO_00448	gene	783				
OIOADCLO_00448	CDS	783				ABC transporter ATP-binding protein
OIOADCLO_00449	gene	1446				
OIOADCLO_00449	CDS	1446		6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase
OIOADCLO_00450	gene	1635				
OIOADCLO_00450	CDS	1635				polysaccharide biosynthesis protein
OIOADCLO_00451	gene	630	upp			
OIOADCLO_00451	CDS	630	upp	2.4.2.9		uracil phosphoribosyltransferase
OIOADCLO_00452	gene	591				
OIOADCLO_00452	CDS	591				ATP-dependent Clp protease proteolytic subunit
OIOADCLO_00453	gene	276				
OIOADCLO_00453	CDS	276				YlbG family protein
OIOADCLO_00454	gene	636	tmk			
OIOADCLO_00454	CDS	636	tmk	2.7.4.9		dTMP kinase
OIOADCLO_00455	gene	876				
OIOADCLO_00455	CDS	876		2.7.7.7		DNA polymerase III subunit delta'
OIOADCLO_00456	gene	240				
OIOADCLO_00456	CDS	240				hypothetical protein
OIOADCLO_00457	gene	324	yabA			
OIOADCLO_00457	CDS	324	yabA			DNA replication initiation control protein YabA
OIOADCLO_00458	gene	864	rsmI			
OIOADCLO_00458	CDS	864	rsmI	2.1.1.198		16S rRNA (cytidine(1402)-2'-O)-methyltransferase
OIOADCLO_00459	gene	393				
OIOADCLO_00459	CDS	393				hypothetical protein
OIOADCLO_00460	gene	630				
OIOADCLO_00460	CDS	630				copper homeostasis protein CutC
OIOADCLO_00461	gene	357				
OIOADCLO_00461	CDS	357				arsenate reductase family protein
OIOADCLO_00462	gene	828	xth			
OIOADCLO_00462	CDS	828	xth			exodeoxyribonuclease III
OIOADCLO_00463	gene	1182	lctO			
OIOADCLO_00463	CDS	1182	lctO			L-lactate oxidase
OIOADCLO_00464	gene	4944	scpC			
OIOADCLO_00464	CDS	4944	scpC	3.4.21.-		CXC chemokine-degrading serine protease SpyCEP
OIOADCLO_00465	gene	708				
OIOADCLO_00465	CDS	708				YoaK family protein
OIOADCLO_00466	gene	1998	metG			
OIOADCLO_00466	CDS	1998	metG	6.1.1.10		methionine--tRNA ligase
OIOADCLO_00467	gene	1014	nrdF_1			
OIOADCLO_00467	CDS	1014	nrdF_1	1.17.4.1		class 1b ribonucleoside-diphosphate reductase subunit beta
OIOADCLO_00468	gene	489	nrdI_1			
OIOADCLO_00468	CDS	489	nrdI_1			class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI
OIOADCLO_00469	gene	2181	nrdE_1			
OIOADCLO_00469	CDS	2181	nrdE_1	1.17.4.1		class 1b ribonucleoside-diphosphate reductase subunit alpha
OIOADCLO_00470	gene	753				
OIOADCLO_00470	CDS	753				ADP-ribosyltransferase
OIOADCLO_00471	gene	537				
OIOADCLO_00471	CDS	537				hypothetical protein
OIOADCLO_00472	gene	252				
OIOADCLO_00472	CDS	252				hypothetical protein
OIOADCLO_00473	gene	633				
OIOADCLO_00473	CDS	633				hypothetical protein
OIOADCLO_00474	gene	321				
OIOADCLO_00474	CDS	321				hypothetical protein
OIOADCLO_00475	gene	699	spej			
OIOADCLO_00475	CDS	699	spej			streptococcal pyrogenic exotoxin SpeJ
OIOADCLO_00476	gene	615				
OIOADCLO_00476	CDS	615				hypothetical protein
OIOADCLO_00477	gene	237				
OIOADCLO_00477	CDS	237				hypothetical protein
OIOADCLO_00478	gene	699				
OIOADCLO_00478	CDS	699		1.1.1.100		3-oxoacyl-ACP reductase
OIOADCLO_00479	gene	960				
OIOADCLO_00479	CDS	960				Gfo/Idh/MocA family oxidoreductase
OIOADCLO_00480	gene	1338				
OIOADCLO_00480	CDS	1338				MFS transporter
OIOADCLO_00481	gene	1383	glmU			
OIOADCLO_00481	CDS	1383	glmU	2.3.1.157		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
OIOADCLO_00482	gene	555				
OIOADCLO_00482	CDS	555				NUDIX hydrolase
OIOADCLO_00483	gene	252	macP			
OIOADCLO_00483	CDS	252	macP			cell wall synthase accessory phosphoprotein MacP
OIOADCLO_00484	gene	696				
OIOADCLO_00484	CDS	696		3.2.2.9		5'-methylthioadenosine/adenosylhomocysteine nucleosidase
OIOADCLO_00485	gene	342				
OIOADCLO_00485	CDS	342				hypothetical protein
OIOADCLO_00486	gene	648				
OIOADCLO_00486	CDS	648				metal-dependent transcriptional regulator
OIOADCLO_00487	gene	933				
OIOADCLO_00487	CDS	933				metal ABC transporter substrate-binding protein
OIOADCLO_00488	gene	726				
OIOADCLO_00488	CDS	726				metal ABC transporter ATP-binding protein
OIOADCLO_00489	gene	855				
OIOADCLO_00489	CDS	855				metal ABC transporter permease
OIOADCLO_00490	gene	807				
OIOADCLO_00490	CDS	807				peptidylprolyl isomerase
OIOADCLO_00491	gene	2406				
OIOADCLO_00491	CDS	2406				DNA translocase FtsK
OIOADCLO_00492	gene	354				
OIOADCLO_00492	CDS	354				hypothetical protein
OIOADCLO_00493	gene	426	rplK			
OIOADCLO_00493	CDS	426	rplK			50S ribosomal protein L11
OIOADCLO_00494	gene	690	rplA			
OIOADCLO_00494	CDS	690	rplA			50S ribosomal protein L1
OIOADCLO_00495	gene	729	pyrH			
OIOADCLO_00495	CDS	729	pyrH	2.7.4.22		UMP kinase
OIOADCLO_00496	gene	558	frr			
OIOADCLO_00496	CDS	558	frr			ribosome recycling factor
OIOADCLO_00497	gene	858				
OIOADCLO_00497	CDS	858				S1 RNA-binding domain-containing protein
OIOADCLO_00498	gene	510	msrA			
OIOADCLO_00498	CDS	510	msrA	1.8.4.11		peptide-methionine (S)-S-oxide reductase MsrA
OIOADCLO_00499	gene	216				
OIOADCLO_00499	CDS	216				YozE family protein
OIOADCLO_00500	gene	1170				
OIOADCLO_00500	CDS	1170				LysM peptidoglycan-binding domain-containing protein
OIOADCLO_00501	gene	1773				
OIOADCLO_00501	CDS	1773		4.2.1.53		oleate hydratase
OIOADCLO_00502	gene	1053				
OIOADCLO_00502	CDS	1053				PhoH family protein
OIOADCLO_00503	gene	576				
OIOADCLO_00503	CDS	576				uracil-DNA glycosylase family protein
OIOADCLO_00504	gene	498	ybeY			
OIOADCLO_00504	CDS	498	ybeY			rRNA maturation RNase YbeY
OIOADCLO_00505	gene	408				
OIOADCLO_00505	CDS	408				diacylglycerol kinase
OIOADCLO_00506	gene	897	era			
OIOADCLO_00506	CDS	897	era			GTPase Era
OIOADCLO_00507	gene	477				
OIOADCLO_00507	CDS	477				NUDIX domain-containing protein
OIOADCLO_00508	gene	255				
OIOADCLO_00508	CDS	255				hypothetical protein
OIOADCLO_00509	gene	246				
OIOADCLO_00509	CDS	246				Blp family class II bacteriocin
OIOADCLO_00510	gene	183				
OIOADCLO_00510	CDS	183				class IIb bacteriocin, lactobin A/cerein 7B family
OIOADCLO_00511	gene	150				
OIOADCLO_00511	CDS	150				hypothetical protein
OIOADCLO_00512	gene	423				
OIOADCLO_00512	CDS	423				IS256 family transposase ISSag11
OIOADCLO_00513	gene	165				
OIOADCLO_00513	CDS	165				Blp family class II bacteriocin
OIOADCLO_00514	gene	201				
OIOADCLO_00514	CDS	201				class IIb bacteriocin, lactobin A/cerein 7B family
OIOADCLO_00515	gene	195				
OIOADCLO_00515	CDS	195				hypothetical protein
OIOADCLO_00516	gene	105				
OIOADCLO_00516	CDS	105				hypothetical protein
OIOADCLO_00517	gene	996				
OIOADCLO_00517	CDS	996				hypothetical protein
OIOADCLO_00518	gene	447				
OIOADCLO_00518	CDS	447				hypothetical protein
OIOADCLO_00519	gene	270	stcA			
OIOADCLO_00519	CDS	270	stcA			quorum-sensing system protein StcA
OIOADCLO_00520	gene	867	rgg2			
OIOADCLO_00520	CDS	867	rgg2			quorum-sensing system transcriptional regulator Rgg2
OIOADCLO_00521	gene	828	mutM			
OIOADCLO_00521	CDS	828	mutM	3.2.2.23		DNA-formamidopyrimidine glycosylase
OIOADCLO_00522	gene	594	coaE			
OIOADCLO_00522	CDS	594	coaE	2.7.1.24		dephospho-CoA kinase
OIOADCLO_00523	gene	1503				
OIOADCLO_00523	CDS	1503				hypothetical protein
OIOADCLO_00524	gene	1194				
OIOADCLO_00524	CDS	1194				multidrug efflux MFS transporter
OIOADCLO_00525	gene	237	secG			
